author,date,headlines,read_more,text,ctext
Sumedha Sehra,"03 Aug 2017,Thursday",Food regulator planning leftover banks to feed hungry people,http://www.hindustantimes.com/india-news/india-s-food-regulator-plans-leftover-banks-to-feed-the-hungry/story-Mi5UpiXRpCcodCvxqHGZ7M.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"India's food regulator Food Safety and Standards Authority of India (FSSAI) is planning to create a network to collect leftover food and provide it to the needy. It is looking to connect with organisations which can collect, store and distribute leftover food from weddings and large parties. It further added that all food must meet the safety and hygiene standards.","The Food Safety and Standards Authority of India (FSSAI) is in the process of creating a network of food banking partners to collect and distribute leftover food from large parties and weddings to the hungry.A notification to create a separate category of food business operators (FBOs), who will be licensed to deal only with leftover food, has been drafted to ensure the quality of food.?We are looking at partnering with NGOs or organisations that collect, store and distribute surplus food to ensure they maintain certain hygiene and health standards when handling food,? said Pawan Agarwal, CEO of FSSAI.?Tonnes of food is wasted annually. We are looking at creating a mechanism through which food can be collected from restaurants, weddings, large-scale parties,?  says Pawan Agarwal, ?All food, whether it is paid for or distributed free, must meet the country?s food safety and hygiene standards,? he said.The organisations in the business of collecting leftover food will now have to work in collaboration with FSSAI so their efforts can be scaled up.?Tonnes of food is wasted annually and can be used to feed several thousands. We are looking at creating a mechanism through which food can be collected from restaurants, weddings, large-scale parties etc,? said Agarwal.The initiative will set up a helpline network where organisations can call in for collection but reaching individuals who want to directly donate food will take time. ?We will have a central helpline number. Reaching people at the household level may not be feasible initially but it is an integral part of the long-term plan,? he said. ?We have begun collecting names of people working in the sector. There are still a few months to go before the scheme materialises,? said Agarwal.?Collecting food going waste to feed the hungry is a noble thought but to transport, store and maintain the cold chain of cooked food is a huge challenge. The logistics are a nightmare, which is why we don?t handle leftovers and only distribute uncooked food that can be cooked locally,? said Kuldip Nar, founder of Delhi NCR Food Bank, which has been feeding the poor in 10 cities since 2011."
Sumedha Sehra,"03 Aug 2017,Thursday",Call devastated his life: Mom of boy who got 'Google' offer,http://www.hindustantimes.com/punjab/google-job-hoax-a-phone-call-devastated-my-child-s-life-says-mother-of-chandigarh-teenager/story-seXaasS98Q2RLfpheGEl7L.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"The mother of Harshit Sharma, the class 12 Chandigarh boy who got a hoax job offer call from Google, said that the incident ""devastated"" his life. He got a call, after which he shared the information with the school principal, who sent out a press release. Harshit is hospitalised since Google denied giving him a job, his mother added.","Bharti Sharma, mother of the 16-year-old boy who made headlines for getting a job offer from Google and then for it being a hoax, said on Wednesday the incident had ?devastated? her son?s life. Talking to HT, Bharti, a teacher from Kurukshetra, said Harshit got a hoax call, and not a letter, informing him about his selection for the post of graphic designer. ?Harshit got a phone call. We did not believe it at first. I kept telling him it could be hoax,? said the mother. ?He shared the information with his school principal, who further released a press note, which led to media coverage.?Bharti said once the news was published and mediapersons started contacting them, they too thought the job offer is genuine.?We thought the principal has some confirmation,? she said.Where did letter come from?However, question remains over the offer letter that the school has provided to the media, claiming that Harshit had forwarded it to a teacher. The letter has several mistakes and does not contain any salary details. Bharti maintained that Harshit did not provide it to the school. Harshit had completed Class 12 from Government Model Senior Secondary School (GMSSS), Sector 33, this year. It was on Saturday that the UT administration released a press note about Harshit?s achievement. The release claimed that the internet giant would pay him Rs 12 lakh per month as salary after a year?s training. During training, it was claimed he will get a stipend of Rs 4 lakh per month.However, on Tuesday, Google denied having offered paid training and job to Harshit. Bharti said Harshit hasn?t eaten since Tuesday and is hospitalised. ?Doctors say he is traumatised. Those who were congratulating us are now taunting us,? she said.Claiming they did not want to blame the principal or any teacher, Bharti said: ?Harshit only told her about the call.??Family evading authorities?However, Beniwal maintained that Harshit forwarded a copy of the offer letter to a teacher through WhatsApp. The principal alleged Harshit?s family had been evading the authorities and there phone number were also switched off. Meanwhile, Beniwal has submitted a report to the education department after it ordered a probe on Tuesday.It is learnt the principal has stated that she was on leave and got information about the boy getting a job offer through two teachers. She has also forwarded messages exchanged between the teachers and Harshit?s family and the offer letter. She has also appended videos of celebrations at Harshit?s ancestral place in Kurukshetra.The report will be made public on Thursday. ?I have received the report, but not seen it yet,? said Rubinderjit Singh Brar, UT director, school education."
Sonu Kumari,"03 Aug 2017,Thursday",19 Gurugram buildings to pay property tax over free parking,http://www.hindustantimes.com/gurgaon/mcg-s-new-list-says-only-26-commercial-sites-will-offer-free-parking/story-yhFWFCmVjDoKWJ2qkMhg8N.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Municipal Corporation of Gurugram on Wednesday said that 19 out of 45 commercial building owners have decided to pay property tax instead of providing free parking to the public. Notably, MCG earlier offered a property tax waiver for building basements if they were used to provide free parking. However, the owners allegedly said that revenues from parking profited them more.","Only 26 malls and commercial centres on Mehrauli-Gurgaon (MG) road, Golf Course Road and Sohna Road will offer free parking in their basements, the Municipal Corporation of Gurugram (MCG) announced on Wednesday.The MCG had earlier said it will waive property tax on basements if the same were used to provide free parking. Soon afterwards, 45 sites offered free parking but now some of the owners have agreed to pay the property tax instead of offering free parking service. As a result, the list has been trimmed to 26. Building owners said the revenue from parking is higher than the gains from the property tax waiver.The updated list is in the public domain on the civic body?s website ? www.mcg.gov.in. As reported earlier, MCG officials had reviewed the Central government?s notification regarding evaluation of property tax for commercial spaces and that to led to the civic body announcing the clause of tax waiver in lieu of free parking space.The 26 establishments offering free parking are Suncity Business Tower, Paras Twin Towers, MGF The Palm Springs Plaza, Global Foyer, Vipul Tech Square, MPD Tower, Augusta Point, Paras Downtown Tower, Central Plaza and Centrum Plaza ? all located on the Golf Course Road. On MG Road, ABW Tower, Sewa Corporate Park, Garden City Point, DLF Corporate Park, Platina Mall and Vipul Agora Mall will offer free parking. Unitech Cyber Park Sector 39, Unitech Business Zone and Nirvana Country Yard Sector 50 and Unitech Arcadia Sector 49 will also offer free parking.Omaxe City Centre, Omaxe Mall, Raheja Mall, ILD Trade Centre, Omaxe Celebration Mall and the Sapphire Mall on Sohna Road are also on the list.?The MCG had the option of levying a property tax on the basements in commercial centres, but after reading the Central government guidelines, an option was given to building owners that if they did not levy a parking fee on customers, the property tax on basements will be waived. Hence, for the public?s benefit, the MCG has placed ?free parking? boards at these sites for their awareness,? MCG Commissioner V Umashankar said.If the sites mentioned on the list are found levying a parking fee, the public can report complaints on the MCG?s toll-free number ? 1800-180-1817 ? or email to support@mcg.gov.in."
Dishant Sharma,"03 Aug 2017,Thursday",Human embryos edited to stop deadly disease for the 1st time,https://www.theguardian.com/science/2017/aug/02/deadly-gene-mutations-removed-from-human-embryos-in-landmark-study?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Scientists, for the first time, successfully freed embryos of a piece of faulty DNA that causes a fatal heart disease to run in families. The disease, called hypertrophic cardiomyopathy, causes the heart to stop suddenly and is the result of an error in a single gene. The breakthrough could lead to preventing 10,000 disorders that are passed down the generations.","Scientists have modified human embryos to remove genetic mutations that cause heart failure in otherwise healthy young people in a landmark demonstration of the controversial procedure.It is the first time that human embryos have had their genomes edited outside China, where researchers have performed a handful of small studies to see whether the approach could prevent inherited diseases from being passed on from one generation to the next.While none of the research so far has created babies from modified embryos, a move that would be illegal in many countries, the work represents a milestone in scientists? efforts to master the technique and brings the prospect of human clinical trials one step closer.The work focused on an inherited form of heart disease, but scientists believe the same approach could work for other conditions caused by single gene mutations, such as cystic fibrosis and certain kinds of breast cancer.?This embryo gene correction method, if proven safe, can potentially be used to prevent transmission of genetic disease to future generations,? said Paula Amato, a fertility specialist involved in the US-Korean study at Oregon Health and Science University.The scientists used a powerful gene editing tool called Crispr-Cas9 to fix mutations in embryos made with the sperm of a man who inherited a heart condition known as hypertrophic cardiomyopathy, or HCM. The disease, which leads to a thickening of the heart?s muscular wall, affects one in 500 people and is a common cause of sudden cardiac arrest in young people.Crispr, or to give it its full name, Crispr-Cas9, allows scientists to precisely target and edit pieces of the genome. Crispr is a guide molecule made of RNA, that allows a specific site of interest on the DNA double helix to be targeted. The RNA molecule is attached to Cas9, a bacterial enzyme that works as a pair of ""molecular scissors"" to cut the DNA at the exact point required. This allows scientists to cut, paste and delete single letters of genetic code. Humans have two copies of every gene, but some diseases are caused by a mutation in only one of the copies. For the study, the scientists recruited a man who carried a single mutant copy of a gene called MYBPC3 which causes HCM.When the scientists made embryos with the man?s sperm and healthy eggs from donors, they found that, as expected, about half of the embryos carried the mutant gene. If the affected embryos were implanted into women and carried to term, the resulting children would inherit the heart condition.Writing in the journal Nature, the researchers describe how gene editing dramatically reduced the number of embryos that carried the dangerous mutation. When performed early enough, at the same time as fertilisation, 42 out of 58 embryos, or 72%, were found to be free of the disease-causing mutation.The work has impressed other scientists in the field because in previous experiments, gene editing has worked only partially, mending harmful mutations in some cells, but not others. Another problem happens when the wrong genes are modified by mistake, but in the latest work the scientists found no evidence of these so-called ?off target effects??They?ve got remarkably good results, it?s a big advance.? said Richard Hynes, a geneticist at MIT who this year co-chaired a major report on human genome editing for the US National Academy of Sciences (NAS). ?This brings it closer to clinic, but there?s still a lot of work to do.?Today, people who carry certain genetic diseases can opt for IVF and have their embryos screened for harmful mutations. The procedure can only help if there is a chance that some embryos will be healthy. According to Shoukhrat Mitalipov, who led the latest research, gene editing could bolster the number of healthy embryos available for doctors to implant.More work is needed to prove that gene editing would be safe to do in people, but even if it seems safe, scientists face major regulatory hurdles before clinical trials could start. In the US, Congress has barred the Food and Drug Administration from even considering human trials with edited embryos, while in the UK it is illegal to implant genetically modified embryos in women. The procedure is controversial because genetic modifications made to an embryo affect not only the child it becomes but future generations too. ?It?s still a long road ahead,? said Mitalipov. ?It?s unclear when we?d be allowed to move on.?In the latest study, the mutation was corrected by a route that scientists have not seen before, with the cell copying healthy DNA from the mother?s egg instead of the template. One question scientists need to explore now is whether mutations carried by eggs can be corrected as easily as those carried by sperm.?If all of this holds up for different genes and is also true when the mutation is inherited from the mother, it will be a major step forward,? said Janet Rossant, senior scientist and chief of research emeritus at the Hospital for Sick Children in Toronto.Asked about the potential for gene editing to produce designer babies, Rossant, a co-author of the NAS report on gene editing, said it was a distant prospect. ?We are still a long way from serious consideration of using gene editing to enhance traits in babies,? she said. ?We don?t understand the genetic basis of many of the human traits that might be targets for enhancement. Even if we did, a genetic alteration that enhanced one trait could have unexpected negative consequences on other traits, and this would be an inherited feature for the next generation.??The NAS report came out strongly against any form of gene editing designed to simply enhance human potential,? she added."
Sonu Kumari,"03 Aug 2017,Thursday","Nearly 2,300 CPWD buildings in Delhi unsafe: Union Minister",http://www.hindustantimes.com/delhi-news/nearly-2-300-cpwd-buildings-in-delhi-are-unsafe-govt-tells-lok-sabha/story-WqHUp30RGH5WVPGHOezB8L.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"A Union Minister of State for Home Affairs informed the Lok Sabha on Wednesday that Delhi's 2,297 residential buildings under the Central Public Works Department were found to be ""unsafe"". Another 124 buildings under the New Delhi Municipal Council were identified as dangerous. The authorities said that they conduct surveys of unsafe buildings every year and undertake required actions.","As many as 2,297 residential buildings under the CPWD in Delhi have been identified as ?unsafe?, the Lok Sabha was informed on Wednesday.The number of unsafe or dangerous buildings under the New Delhi Municipal Council stands at 124, Union minister of state for home affairs Hansraj Gangaram Ahir said.Also, 17 buildings have been found ?unsafe? in areas falling under three municipal corporations, with 14 in north, two in east and one in south Delhi.?The Central Public Works Department (CPWD) has informed that 2,297 buildings have been identified as unsafe residential buildings in Delhi,? Ahir said in a written reply.The three municipal corporations, New Delhi Municipal Council and CPWD intimated that every year the survey of unsafe/dangerous building is carried out and necessary action for demolition of the same is undertaken, it stated.The reply also said that this is a continuous process every year and corrective action is taken."
Chhavi Tyagi,"03 Aug 2017,Thursday",Gujarat Rajya Sabha polls to be held with NOTA option: SC,http://www.hindustantimes.com/india-news/supreme-court-declines-plea-to-stay-nota-for-gujarat-rajya-sabha-polls/story-IEn3cIgaT8JbgSzaB32s2L.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,The Supreme Court today refused to stay the exercise of NOTA (none of the above) option in the Gujarat Rajya Sabha elections scheduled to take place on 8 August. The SC further said that the issue would be heard as a constitutional question ? whether NOTA would apply to election of council of states. ,"The Supreme Court on Thursday refused to stay the Election Commission decision allowing the NOTA provision in the August 8 Rajya Sabha polls in Gujarat.A bench of justices Dipak Misra, Amitava Roy and AM Khanwilkar, however, agreed to examine the constitutional validity of the August 1 notification of the poll panel allowing the NOTA option.?Issue notice. We will examine it. We are not going to stay the proceedings,? the bench said when senior advocates Kapil Sibal, AM Singhvi and Harin Raval, representingGujarat Congress chief whip Shailesh Manubhai Parmar, sought an interim stay on the notification.The bench questioned the delay by the opposition party in filing its petition, pointing out that the poll panel had issued a notification on the matter in January 2014 and another circular in 2015.?When it suited you, you did not come. You come here on the eve of elections,? the bench said.Sibal told the court that including NOTA will encourage corruption. ?It?s a recipe for corruption.?The NOTA ? none of the above ? option allows voters to reject all candidates in fray. Six Gujarat MLAs switched over from the Congress to the BJP last week, seen as a major blow to the prospects of the opposition party candidate Ahmed Patel.The Congress is apprehensive of cross voting and some MLAs exercising the NOTA option.Last week, the party flew most of its Gujarat  MLAs to Bengaluru to protect them from what it says is the BJP?s conspiracy to lure Congress legislators. The petition said use of the option would be violative of the provisions of the Representation of People?s Act, 1951 and the Conduct of Election Rules, 1961.In the Rajya Sabha polls, the MLAs have to show their ballot paper to an authorised party agent before putting it in ballot box.If a voter (MLA) defies the party directive and casts the ballot for someone else or uses the NOTA option, he cannot be disqualified as a legislator.But the party is free to take disciplinary action including expulsion. The defiant voter can continue to be an MLA and his vote can also not be invalidated for defying the party direction, according to EC rules. (With agency inputs)"
Dishant Sharma,"03 Aug 2017,Thursday",Indian athlete indicted on sex abuse charge in US,http://www.hindustantimes.com/other-sports/indian-athlete-indicted-on-sex-abuse-charge-in-us/story-gUBUg4dL4AYhqiJQZXxhkL.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Tanveer Hussain, a 24-year-old Indian athlete from Kashmir, has been indicted in the US on charges of sexually abusing a minor girl, during a visit to the US for a snowshoe competition. An Essex County jury has charged Hussain with one count of first-degree sexual abuse and two counts of endangering the welfare of a child.","A 24-year-old Indian athlete has been indicted in the US on charges of sexually abusing a minor girl, days after he arrived from Kashmir for a snowshoe competition. (India vs Sri Lanka Updates) Tanveer Hussain was indicted last week by an Essex County grand jury for allegedly having inappropriate contact with a 12-year-old Saranac Lake girl earlier this year.The grand jury returned the indictment Hussain charging him with one count of first-degree sexual abuse and two counts of endangering the welfare of a child, a report in the Adirondack Daily Enterprise quoted a press release from Essex County District Attorney Kristy Sprague as saying.Hussain had been arrested in March on charges of sexually abusing the minor girl, two days after he competed in the World Snowshoe Championships at Dewey Mountain Recreation Center.(Read | PU Chitra gets financial aid from Kerala government, CK Vineeth given job) ?Hussain is alleged to have subjected a 12-year-old female to sexual contact and engaged in inappropriate conversations with said child during the time he was in Saranac Lake,? the report quoted Sprague as saying.The minor girl had told police that on the night of February, two days after the snowshoe race, Hussain had kissed her twice and had groped her.The report added that Hussain had previously denied the charges and declined a plea deal that would have let him return to India as he wanted to clear his name.(Read | Indian Deaflympians demand equal treatment with para-athletes) Hussain?s lawyer Brian Barrett said that he was disappointed that Sprague announced the indictment in a press release before notifying him.?This is all about the press. That?s what this whole case is all about,? he said.Hussain had garnered much attention before arriving in the US for the snowshoe championship after the US Embassy in New Delhi had denied him and another athlete visas around the same time President Donald Trump had issued an order barring travel into the US from seven Muslim-dominant countries.While India was not among the seven countries, the denial of visa to Hussain and the other athlete was seen associated with the executive order. "
Ankush Verma,"25 Feb 2017,Saturday","Mohd Ali's son detained at US airport, asked if he's muslim",http://indiatoday.intoday.in/story/muhammad-ali-donald-trump-ban-on-muslims-fort-lauderdale/1/891144.html ,"Muhammad Ali Jr, son of legendary boxer Muhammad Ali was detained by immigration officials at Fort Lauderdale-Hollywood International Airport, Florida on February 7, according to reports. Officials at the airport questioned him for nearly four hours, repeatedly asking him ""Where did you get your name from?"" and ""Are you Muslim?"". He was travelling from Jamaica with his mother Khalilah Camacho-Ali.","In a shocking development, the son of legendary boxer Muhammad Ali was detained for four hours by immigration officials in Florida earlier this month and repeatedly asked about his religion.Muhammad Ali, 44, and his mother Khalilah Camacho-Ali, the first wife of boxer, arriving at Fort Lauderdale-Hollywood International Airport on February 7 after an event in Jamaica, when they were pulled aside while going through customs because of their Arabic sounding names, reports the USA Today quoting Ali's family friend and lawyer Chris Mancini.Camacho-Ali was let go after she showed them a photo of herself with her ex-husband, however, her son was not so lucky as he was badgered for two straight hours, where he was repeatedly asked, ""Where did you get your name from?"" and ""Are you Muslim?""When Ali Jr. responded that yes, he is a Muslim, the officers kept questioning him about his religion and where he was born.Mancini said he and the Ali family are contemplating filing a federal lawsuit and are currently trying to find out how many other people have been subjected to the same treatment as Ali Jr."
Chhavi Tyagi,"25 Feb 2017,Saturday",Kejriwal moves Delhi HC against Jaitley in defamation case,http://indiatoday.intoday.in/story/arvind-kejriwal-arun-jaitley-demation/1/891356.html ,Delhi Chief Minister Arvind Kejriwal has moved the Delhi High Court in connection with the defamation case filed by Union Finance Minister Arun Jaitley. Arvind Kejriwal has sought details of bank accounts of Arun Jaitley and his family members. The two leaders are involved in a defamation case after Kejriwal accused Jaitley of financial irregularities in Delhi District Cricket Association.,Delhi Chief Minister Arvind Kejriwal has moved the Delhi High Court in connection with the defamation case filed by Union Finance Minister Arun Jaitley.Arvind Kejriwal has sought details of bank accounts of Arun Jaitley and his family members.
Daisy Mowke,"25 Feb 2017,Saturday",Kanye West plans to launch cosmetic line for men: Reports,http://indiatoday.intoday.in/story/kanye-west-to-launch-makeup-for-men/1/890447.html ,"According to reports, singer Kanye West is planning to launch a cosmetic line for men. The line is reportedly inspired by his late mother Donda West. It will include makeup, perfumes, lotion and other cosmetics. ""[Kanye] believes the future is in men's makeup,"" a source was quoted as saying. The cosmetic line will also include women's collection, reports added.","Los Angeles, Feb 24 (PTI) Rapper Kanye West is reportedly set to launch a new cosmetic line inspired by his late mother Donda West. The ""Famous"" hitmaker has filed legal docs declaring his intention to produce DONDA brand makeup, perfumes, lotion and other cosmetics, reported Ace Showbiz. According to insiders, 39-year-old Kanyes cosmetic line will also be for men. ""Kanye will have a womens collection and a mens collection. He is a ground breaking sort of guy and believes the future is in mens makeup,"" a source said. "
Chhavi Tyagi,"25 Feb 2017,Saturday",Kargil martyr's daughter starts online campaign against ABVP,http://indiatoday.intoday.in/story/not-afraid-of-abvp-says-kargil-martyrs-daughter-on-fb-goes/1/891194.html ,"Days after Delhi University's Ramjas College saw violent clashes, a Lady Shri Ram College student who is a Kargil martyr's daughter has initiated a social media campaign #StudentsAgainstABVP. She held a placard that read, ""I am a student from Delhi University. I am not afraid of ABVP. I am not alone. Every student of India is with me. #StudentsAgainstABVP"".","Days after Delhi University's Ramjas college saw violent clashes, a Lady Sri Ram College student who is a Kargil martyr's daughter has initiated a social media campaign, ""I am not scared of ABVP"", which has gone viral.Gurmehar Kaur , daughter of Kargil martyr Captain Mandeep Singh, changed her Facebook profile picture holding a placard which read, ""I am a student from Delhi University. I am not afraid of ABVP. I am not alone. Every student of India is with me. #StudentsAgainstABVP"".""The brutal attack on innocent students by ABVP is very disturbing and should be stopped. It was not an attack on protesters, but an attack on every notion of democracy that is held dear in every Indians heart. It is an attack on ideals, morals, freedom and rights of every person born to this nation,"" she said in a Facebook status.""The stones that you pelt hit our bodies, but fail to bruise our ideas. This profile picture is my way of protesting against the tyranny of fear,"" she added.The literature students classmates and peers started sharing the post, prompting students from various universities across the country to change their profile pictures with the same placard, as the initiative went viral.Kaurs Facebook post so far has 2,100 reactions, 3,456 shares and 542 comments."
Mansha Mahajan,"25 Feb 2017,Saturday","Did not overcharge patients for stents, says Max Healthcare",http://indiatoday.intoday.in/story/max-healthcare-lilavati-deny-overcharging-on-stents/1/890722.html ,"Max Healthcare has denied overcharging patients for stents and insisted it was complying with the guidelines on the medical device's pricing. ""We have not overcharged even a single patient for stent. We have complied fully and immediately with the NPPA order on stent pricing,"" it said. Notably, some hospitals have been issued show cause notices after investigations over stent pricing.","New Delhi/Mumbai, Feb 24 (PTI) Max Healthcare and Lilavati Hospital today denied overcharging patients for stents and insisted they were complying with NPPA guidelines on pricing of the medical device. ""We have not overcharged even a single patient for stent. We have complied fully and immediately with the NPPA order on stent pricing,"" a Max Healthcare official said in response to queries by PTI. The companys healthcare facility at Saket in South Delhi is among the hospitals which have been issued show cause notices by the National Pharmaceutical Pricing Authority (NPPA) after preliminary investigations over stents pricing. ""We are positive that we will be able to demonstrate our compliance to NPPA order on the ceiling price of coronary stent,"" the official added. Similarly, Lilavati Hospitals Medical Superintendent Sitaram Gawde said: ""We are not overcharging. We are following the government guidelines on pricing. We are yet to receive any communication from the NPPA."" The NPPA had earlier said it had issued show cause notices to some hospitals over pricing of stents. ""After preliminary investigations, show cause notices issued to Max, Saket, New Delhi and Nidaan Multispeciality Hospital, Sonepat, Haryana,"" NPPA had said in a tweet. The regulator had also said it was investigating overpricing complaints against hospitals, including Lilavati Hospital (Mumbai), Max Saket (New Delhi), Metro Hospital (Faridabad), PGI Chandigarh, Ram Murti Hospital (Bareilly), and has alerted the concerned State Drug Controllers. Comments from the other hospitals could not be immediately obtained. NPPA had yesterday warned hospitals, stent manufacturers and importers of legal action in case they are found spreading ""misinformation"" about shortage of stents in the wake of price cap. "
Chhavi Tyagi,"25 Feb 2017,Saturday",I'd rather die than accept jailbird's puppet as CM: Katju,http://indiatoday.intoday.in/story/sasikala-palaniswami-markandey-katju-tamil-nadu/1/891164.html ,"Reacting on the recent political scenario in Tamil Nadu, former Supreme Court judge Markandey Katju wrote in a Facebook post that he would rather be dead than accept a jailbird's puppet as Chief Minister. ""I am no longer a Tamizhan. I refuse to be a member of the people who don't mind living in disgrace and dishonour,"" he added.","Known for his public outbursts and raking controversies with his statements, former Supreme Court judge Markandey Katju has done it again with his new Facebook post. Justice Katju has called Tamil Nadu Chief Minister E Palaniswami a puppet of 'jailbird' Sasikala, the AIADMK general secretary.Justice Katju has written an open letter to the Tamil community to openly lambast the people of Tamil Nadu for accepting Palaniswami as their Chief Minister which is a 'disgrace'.The former Supreme Court judge said, ""A puppet of a jailbird has been made your Chief Minister, and you have done nothing about it?"""
Chhavi Tyagi,"25 Feb 2017,Saturday","NHAI cuts over 8,000 trees in Gurugram to build flyovers",http://indiatoday.intoday.in/story/gurugram-nhai-chops-trees-to-build-flyover-underpass-green-cover/1/891101.html ,"The National Highways Authority of India (NHAI) has chopped more than 8,000 trees in Gurugram to develop a flyover and three underpasses. While environmentalists have criticised NHAI for the move in the name of development, meteorological department officials have raised concerns about a possible increase in temperature by 2-3 degrees.","Millennium city in Gurugram is paying a heavy price for roads and big infrastructure projects. Local forest department sources told Mail Today on Friday that the NHAI has chopped more than 8,000 trees to develop a flyover and three underpasses. Environmentalists are criticising NHAI for this ""eco-disaster in the name of development"". Meteorological department officials too raised concerns about possible increase in temperature by 2 to 3 degrees. Sources said the road agency has not given any blueprint about developing green channels to compensate for felled trees. ""Trees were chopped mercilessly and many of these were fullgrown and more than 25 years old,"" said Vivek Kamboj, a city based environmentalist."
Tarun Khanna,"25 Feb 2017,Saturday",PM Modi indeed working like a donkey: Digvijaya Singh,http://indiatoday.intoday.in/story/digvijay-joins-slanging-match-over-donkey/1/890878.html ,"As UP CM Akhilesh Yadav and PM Narendra Modi traded barbs over 'Gujarat donkeys', Congress leader Digvijaya Singh on Friday tweeted that the latter ""indeed worked like a donkey"". His tweet came after PM Modi said he takes inspiration from the ""loyal"" and ""hard working"" animal and was amused that Akhilesh Yadav was afraid of Gujarat's donkeys.","Joining in the slanging match over the ""donkey"" barb targeting Prime Minister Narendra Modi, Congress leader Digvijay Singh today said he ""indeed worked like a donkey"".""Modi ji, you very rightly said that you indeed work like a donkey,"" he tweeted.His dig at the Prime Minister came a day after Modi said he takes inspiration from the ""loyal"" and ""hard working"" animal and was amused that UP Chief Minister Akhilesh Yadav was ""afraid"" of Gujarat's donkeys.Modi said the criticism of donkeys by Akhilesh only reflected his ""casteist mentality"" and ""the feeling of hatred does not suit him"".""In elections, opponents criticise each other Akhileshji I can understand if you attack Modi and BJP but I am amused that you have attacked donkeys are you afraid of donkeys, that too these are thousands of kilometres away?"" Modi had said, addressing an election rally in poll-bound UP.Modi had said,""The people of this country are my masters, I take inspiration from the donkey because I work for people day and night...donkeys are loyal to their master.""Addressing a poll rally in Rae Bareli three days ago, Akhilesh Yadav had said, ""There comes an advertisement on Television that features donkeys. I will ask the megastar of this century (Amitabh Bachchan) to stop campaigning for donkeys.""His comments came on a tourism advertisement for Gujarat featuring Bachchan promoting the state's wild ass.ALSO READ: Uttar Pradesh Assembly polls: Voters disillusioned as 'gadha politics' take precedence over actual political debateALSO READ: Gujarat Tourism's 'gadha' ad: A mocking Akhilesh has a request for megastar Amitabh"
Tarun Khanna,"25 Feb 2017,Saturday",BMC polls: Shiv Sena's tally rises to 87 as 3 join party,http://indiatoday.intoday.in/story/shiv-sena-tally-rises-to-87-as-3-independents-join-party/1/891066.html ,"Shiv Sena's tally in recently concluded BMC election rose to 87 on Friday as three independent councillors, who had earlier parted ways with the party, returned to its fold. However, Sena is still short of 27 councillors to touch the halfway mark of 114 seats. This came amid reports that Sena has approached Congress for a post-poll alliance.","A day after the Brihanmumbai Municipal Corporation (BMC) polls threw up a hung verdict, Shiv Sena's tally of corporators rose to 87 today with three party rebels who won as Independent nominees returning to its fold. This gave a slight push to Uddhav Thackeray's efforts to cobble up numbers but reaching the magic figure of 114 seats needed to rule the cash-rich civic body is still a far cry. The development came at a time when both the Sena and its estranged ally BJP which has won 82 seats, are keeping cards close to their chest on the prospects of coming together again to attain power or otherwise. While Snehal More (Vikhroli) and Tulsiram Shinde (Dindoshi) arrived at Matoshree, the Bandra residence of Thackeray, in morning where they were reinducted, Changez Multani (Andheri) extended his support in evening. SENA EYEING ANOTHER TERMThe Sena, which has been in power in the BMC for last 20 years with the BJP being a junior partner, is looking forward for another term. It contested the BMC polls separately by dumping the BJP. Sena is a junior partner of the BJP in Centre and Maharashtra government. However, the resurgent BJP breached the Sena citadel of Mumbai and bagged 82 seats, just two less than Sena's Friday tally of 84. It remains unclear whether the saffron siblings will join the hands again or new combinations will emerge to secure 114 seats. BJP spokesperson Madhav Bhandari on Friday said the final decision pertaining to the BMC will be taken by core committee of the party, which is meeting here in the evening. WORKING ON NUMBERS FOR MAYORAL ELECTIONWith the fractured verdict restricting their options, Sena and BJP are trying hard to enlist support of as many corporators as possible to stack up numbers ahead of the Mayoral election scheduled next month. Meanwhile, Thackeray reiterated that Sena will install the next Mayor and said he has not yet thought about alliance. According to sources in the Sena, Thackeray will hold a meeting of all senior party leaders and newly-elected corporators at the Shiv Sena Bhavan to decide on the future course of action. BJP'S CLAIMMeanwhile, a BJP leader has claimed three Independent corporators are willing to give support to BJP in the coming days. The BJP's core committee meeting is currently underway in the city to decide its future strategy. In the counting of votes held on Thursday, Sena won 84 seats, BJP 82, Congress 31, NCP 9, MNS 7, AIMIM 3, Samajwadi Party 6, Akhil Bhartiya Sena 1 and Independents 4. "
